[2024-12-16 18:41:02,714] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:41:03,043] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:41:06,457] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:41:20,574] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:41:20,574] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:41:20,648] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:41:20,656] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:41:24,284] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:41:24,456] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:41:49,054] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:41:49,062] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:41:49,247] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:41:49,255] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:41:51,893] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:41:52,141] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:02,741] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:02,747] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:05,566] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:18,602] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:18,602] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:18,800] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:18,800] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:21,030] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:21,202] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:34,948] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:34,952] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:34,989] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:34,989] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:37,268] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:37,452] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:54,031] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:54,031] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:54,300] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:42:54,304] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:42:56,518] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:42:56,792] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:43:07,884] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:43:07,884] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:43:08,020] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:43:08,020] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:43:10,280] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:43:10,503] 35 root - INFO - Embedding index created successfully.
[2024-12-16 18:43:21,891] 22 root - INFO - Initializing Gemini Embedding model...
[2024-12-16 18:43:21,897] 29 root - INFO - Processing documents into embeddings...
[2024-12-16 18:43:24,518] 35 root - INFO - Embedding index created successfully.
